,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,3.54e-05,1504224000,3.67e-05,3.128e-05,3.221e-05,59640342.958397,2034.69719655,3.411e-05
1,3.306e-05,1504310400,3.784e-05,3.2e-05,3.536e-05,52544307.619673,1814.26116953,3.452e-05
2,3.227e-05,1504396800,3.365e-05,3.101e-05,3.299e-05,21761052.546382,701.1131012,3.221e-05
3,2.796e-05,1504483200,3.226e-05,2.61e-05,3.206e-05,68274763.778564,1926.23018319,2.821e-05
4,2.916e-05,1504569600,2.964e-05,2.413e-05,2.793e-05,51773057.136498,1404.60357152,2.713e-05
5,3.491e-05,1504656000,3.546e-05,2.854e-05,2.914e-05,95473693.914236,3078.28457018,3.224e-05
6,3.225e-05,1504742400,3.52e-05,3.205e-05,3.491e-05,38530446.50321,1287.37716075,3.341e-05
7,3e-05,1504828800,3.227e-05,2.889e-05,3.225e-05,59239187.798304,1812.06951998,3.058e-05
8,2.894e-05,1504915200,3.005e-05,2.761e-05,3e-05,29107020.566281,839.76955291,2.885e-05
9,2.751e-05,1505001600,2.908e-05,2.602e-05,2.898e-05,38617533.403941,1060.25831865,2.745e-05
10,2.888e-05,1505088000,3.046e-05,2.682e-05,2.764e-05,46461681.45926,1326.67912577,2.855e-05
11,3.027e-05,1505174400,3.198e-05,2.855e-05,2.888e-05,82166256.248782,2508.32677991,3.052e-05
12,2.98e-05,1505260800,3.049e-05,2.81e-05,3.027e-05,49144010.637594,1432.35657654,2.914e-05
13,2.704e-05,1505347200,3.03e-05,2.624e-05,2.977e-05,71447485.994448,1999.56675913,2.798e-05
14,2.414e-05,1505433600,2.778e-05,1.54e-05,2.704e-05,270401750.08375,5903.65892286,2.183e-05
15,2.134e-05,1505520000,2.435e-05,2.031e-05,2.414e-05,79046575.127134,1740.27923919,2.201e-05
16,2.085e-05,1505606400,2.18e-05,1.857e-05,2.134e-05,73487858.181506,1487.22014636,2.023e-05
17,2.22e-05,1505692800,2.4e-05,2.055e-05,2.085e-05,103455491.23315,2305.17803107,2.228e-05
18,2.035e-05,1505779200,2.279e-05,1.989e-05,2.22e-05,49926562.567442,1057.83331228,2.118e-05
19,2.056e-05,1505865600,2.156e-05,1.905e-05,2.035e-05,51465112.615695,1042.90640264,2.026e-05
20,1.932e-05,1505952000,2.068e-05,1.922e-05,2.053e-05,26349497.814275,523.89841384,1.988e-05
21,1.955e-05,1506038400,2.033e-05,1.85e-05,1.923e-05,29045232.789093,560.91941889,1.931e-05
22,2.001e-05,1506124800,2.029e-05,1.941e-05,1.96e-05,16141784.117402,320.73670239,1.986e-05
23,1.981e-05,1506211200,2.038e-05,1.94e-05,2.008e-05,13476706.116716,267.35522425,1.983e-05
24,2.085e-05,1506297600,2.127e-05,1.969e-05,1.98e-05,29355591.753164,602.8605107,2.053e-05
25,2.05e-05,1506384000,2.102e-05,2.022e-05,2.086e-05,19546554.925866,402.52177745,2.059e-05
26,2.14e-05,1506470400,2.192e-05,1.997e-05,2.05e-05,26501168.290538,545.685983,2.059e-05
27,2.096e-05,1506556800,2.17e-05,2.035e-05,2.14e-05,27794186.581487,581.78527918,2.093e-05
28,1.983e-05,1506643200,2.145e-05,1.956e-05,2.096e-05,23991965.387858,484.57385213,2.019e-05
29,1.974e-05,1506729600,2.029e-05,1.953e-05,1.983e-05,14784903.568635,293.82278347,1.987e-05
